catId;catName;catParent;catPosition;catIsProductCatalogueEnabled
1536;Narzędzia;5;2;false
1532;Ogród;5;3;false
253343;Utrzymanie czystości;5;4;false
123;Wyposażenie;5;5;false
1528;Zwierzęta;5;6;false
953;Birofilistyka;6;0;false
76;Filatelistyka;6;1;false
387;Karty telefoniczne;6;2;false
50442;Medale i odznaczenia;6;3;false
691;Militaria;6;4;false
1061;Modelarstwo;6;5;false
85;Numizmatyka;6;6;false
47936;Pamiątki PRL-u;6;7;false
1052;Papiery wartościowe;6;8;false
380;Pieniądz papierowy;6;9;false
10234;Pocztówki;6;10;false
47937;Trafika;6;11;false
316;Pozostałe;6;12;false
253035;Usługi;6;13;false
253753;Audiobooki - mp3;7;0;false
79153;Literatura piękna, popularna i faktu;7;1;false
79455;Książki naukowe i popularnonaukowe;7;2;false
66781;Książki dla dzieci i młodzieży;7;3;false
66794;Książki do nauki języka obcego;7;4;false
91459;Książki obcojęzyczne;7;5;false
79420;Mapy, przewodniki, książki podróżnicze;7;6;false
79193;Poradniki i albumy;7;7;false
118;Czasopisma;7;8;false
79413;Komiksy;7;9;false
66820;Podręczniki do szkół podst. i średnich;7;10;false
66813;Audiobooki;7;11;false
5893;Ebooki;7;12;false
28496;Kalendarze, gadżety i akcesoria;7;13;false
253045;Usługi;7;14;false
53450;Gadżety;9;0;false
82326;Gry na konsole;9;1;false
45715;Gry online (MMO);9;2;false
45714;Komputerowe inne;9;3;false
45713;Komputerowe PC;9;4;false
5916;Towarzyskie;9;5;false
253046;Usługi;9;6;false
67524;AGD do zabudowy;10;0;false
67414;AGD drobne;10;1;false
67413;AGD wolnostojące;10;2;false
76253;Czytniki ebooków;10;3;false
67193;Elektronika;10;4;false
67093;GPS i akcesoria;10;5;false
8785;Kamery;10;6;false
63489;Piloty;10;7;false
66887;Słuchawki;10;8;false
11;Sprzęt audio dla domu;10;9;false
20134;Sprzęt audio przenośny;10;10;false
709;Sprzęt car audio;10;11;false
67128;Sprzęt satelitarny;10;12;false
717;TV i Video;10;13;false
76254;Zasilanie;10;14;false
1328;Pozostałe;10;15;false
253042;Usługi;10;16;false
253758;Karty Allegro;10;17;false
358;Amplitunery;11;0;false
49122;Części i podzespoły;11;1;false
76328;DAC;11;2;false
148402;DIY;11;3;false
63476;Elementy wygłuszające;11;4;false
66925;Głośniki;11;5;false
778;Gramofony;11;6;false
1320;Kolumny głośnikowe;11;7;false
698;Korektory graficzne;11;8;false
15;Magnetofony i nośniki;11;9;false
63470;Miniwieże;11;10;false
13;Odtwarzacze CD i MD;11;11;false
14310;Radia;11;12;false
73140;Stoliki;11;13;false
16;Tunery radiowe;11;14;false
332;Wieże;11;15;false
14;Wzmacniacze i pokrewne;11;16;false
76329;Zestawy stereo;11;17;false
14328;Uszkodzone;11;18;false
5220;Literatura i instrukcje;11;19;false
19;Pozostałe;11;20;false
20221;Jednopłytowe;13;0;false
20222;Wielopłytowe;13;1;false
66937;Nagrywarki;13;2;false
66936;Odtwarzacze MD;13;3;false
20223;Uszkodzone;13;4;false
20118;Końcówki mocy;14;0;false
20119;Przedwzmacniacze;14;1;false
20120;Wzmacniacze;14;2;false
20121;Wzmacniacze lampowe;14;3;false
67046;Kasetowe;15;0;false
66934;Szpulowe;15;1;false
66935;Nośniki;15;2;false
14316;Analogowe;16;0;false
14317;Cyfrowe;16;1;false
67173;Magnetowidy;21;0;false
67174;Nośniki;21;1;false
49167;Naukowe;24;0;false
49166;Pozostałe;24;1;false
14569;Bezpieczeństwo;68;0;false
69;Biurowe;68;1;false
74;Edukacyjne;68;2;false
70;Grafika i edycja video;68;3;false
72;Internet;68;4;false
73;Multimedia;68;5;false
4764;Muzyczne;68;6;false
71;Narzędzia;68;7;false
4650;Programowanie;68;8;false
4654;Systemy Microsoft;68;9;false
4655;Systemy Linux;68;10;false
4656;Systemy inne;68;11;false
75;Pozostałe;68;12;false
4632;Programy Microsoft;69;0;false
4633;Zarządzanie firmą;69;1;false
4631;Pozostałe;69;2;false
4640;Graficzne;70;0;false
9176;Edycja video;70;1;false
52180;Szablony i kursy;70;2;false
4641;Cliparty i czcionki;70;3;false
4639;Pozostałe;70;4;false
4635;Dla dzieci;74;0;false
4636;Encyklopedie;74;1;false
4637;Kursy językowe;74;2;false
4638;Kursy inne;74;3;false
4634;Pozostałe;74;4;false
4658;Płyty z czasopismami;75;0;false
4659;Sterowniki;75;1;false
4657;Pozostałe;75;2;false
81;Afryka;76;0;false
79;Ameryka Pn i Pd.;76;1;false
83;Australia i Oceania;76;2;false
82;Azja;76;3;false
412;Europa;76;4;false
406;Polska;76;5;false
409;Całości i całostki;76;6;false
414;Tematyczne;76;7;false
3653;Zestawy i zbiory;76;8;false
3650;Literatura;76;9;false
451;Akcesoria;76;10;false
84;Pozostałe;76;11;false
3620;Ameryka Łacińska;79;0;false
9587;Karaiby i Kuba;79;1;false
3621;USA i Kanada;79;2;false
14901;Revenue;84;0;false
14902;Fałszerstwa;84;1;false
82542;Fantazyjne;84;2;false
14900;Pozostałe;84;3;false
92;Afryka;85;0;false
89;Ameryka Pn. i Pd.;85;1;false
339;Antyczne;85;2;false
93;Australia i Oceania;85;3;false
91;Azja;85;4;false
87;Europa;85;5;false
12197;Islam;85;6;false
1115;Monety zastępcze;85;7;false
359;Polska do 1945;85;8;false
8751;Polska po 1945;85;9;false
4766;Powiązane z Polską;85;10;false
968;Średniowieczne;85;11;false
1004;Talary;85;12;false
4776;Tematyczne;85;13;false
362;Wolne Miasto Gdańsk;85;14;false
1082;Akcesoria;85;15;false
507;Literatura;85;16;false
94;Pozostałe;85;17;false
3662;Austro-Węgry i Austria;87;0;false
11752;Benelux;87;1;false
16223;Białoruś;87;2;false
11747;Czechy i Słowacja;87;3;false
3667;Euro;87;4;false
11748;Francja;87;5;false
16225;Hiszpania i Portugalia;87;6;false
3666;Kraje bałtyckie;87;7;false
3663;Niemcy;87;8;false
3664;Rosja;87;9;false
16227;Rumunia i Bułgaria;87;10;false
11753;Skandynawia;87;11;false
11750;Szwajcaria;87;12;false
93619;Turcja;87;13;false
3665;Ukraina;87;14;false
16224;Watykan;87;15;false
16226;Węgry;87;16;false
11751;Wielka Brytania;87;17;false
11749;Włochy;87;18;false
3661;Pozostałe;87;19;false
3654;Ameryka Łacińska;89;0;false
10793;Kanada;89;1;false
3655;Karaiby;89;2;false
3656;USA;89;3;false
3657;Pozostałe;89;4;false
14088;Monety keszowe Cash;91;0;false
93610;Armenia;91;1;false
14089;Chiny;91;2;false
14091;Indie;91;3;false
93611;Indonezja;91;4;false
93612;Irak;91;5;false
93613;Iran;91;6;false
93614;Izrael;91;7;false
14090;Japonia;91;8;false
93615;Kazachstan;91;9;false
93616;Mongolia;91;10;false
93617;Nepal;91;11;false
93618;Tajlandia;91;12;false
14087;Pozostałe;91;13;false
93601;Algieria;92;0;false
93602;Egipt;92;1;false
93603;Kamerun;92;2;false
93604;Kongo;92;3;false
93605;Mauritius;92;4;false
93606;Somalia;92;5;false
93607;Uganda;92;6;false
93595;Pozostałe;92;7;false
93608;Kolekcjonerskie;93;0;false
93609;Obiegowe;93;1;false
9335;Fantazyjne;94;0;false
4772;Kopie i falsyfikaty;94;1;false
15778;Pieczęcie;94;2;false
15779;Plomby;94;3;false
4773;Zestawy;94;4;false
9029;Żetony;94;5;false
4771;Pozostałe;94;6;false
745;Biznes, ekonomia;118;0;false
28471;Budownictwo, wnętrza, ogród;118;1;false
28524;Dla dzieci;118;2;false
66773;Dla nastolatek;118;3;false
754;Elektronika, technika;118;4;false
66774;Ezoteryka, magia, ufo;118;5;false
808;Fantastyka;118;6;false
748;Film, telewizja;118;7;false
753;Fotografia;118;8;false
120;Hobbystyczne;118;9;false
66780;Internet, komputery;118;10;false
66775;Kryminalno-detektywistyczne;118;11;false
262;Kultura, sztuka;118;12;false
121;Muzyka, instrumenty;118;13;false
746;Plotki, moda, uroda;118;14;false
263;Podróżnicze;118;15;false
5884;Popularnonaukowe;118;16;false
755;Samochody, motocykle;118;17;false
66776;Społeczno-polityczne;118;18;false
798;Sport, zdrowie, kondycja;118;19;false
66777;Wojsko, militaria;118;20;false
28472;Wychowanie, rodzina;118;21;false
66778;Zbiory opowiadań;118;22;false
66779;Zwierzęta, przyroda;118;23;false
122;Pozostałe;118;24;false
54051;Akcesoria łazienkowe;123;0;false
9317;Dekoracje i ozdoby;123;1;false
9018;Dywany i dywaniki;123;2;false
12925;Kadzidełka i olejki;123;3;false
68679;Koszyki;123;4;false
147182;Kwiaty cięte;123;5;false
15973;Lustra;123;6;false
68686;Obrusy, serwetki, podkładki;123;7;false
5317;Oświetlenie;123;8;false
9017;Pościel i koce;123;9;false
5328;Przybory kuchenne;123;10;false
54045;Pudełka;123;11;false
11997;Ręczniki;123;12;false
110195;Sauny i akcesoria;123;13;false
110196;Szkatułki i kuferki;123;14;false
9016;Wystrój okien;123;15;false
121237;Zabawne gadżety;123;16;false
110879;Zastawa stołowa;123;17;false
541;Zegary;123;18;false
251242;Inteligentny dom;123;19;false
1591;Ozdoby świąteczne;123;20;false
253371;Usługi;123;21;false
128;Pozostałe;123;22;false
17748;Zapachy dla kobiet;135;0;false
17749;Zapachy dla mężczyzn;135;1;false
1562;Zestawy;135;2;false
234;Pozostałe;135;3;false
14685;Autobusy;149;0;false
589;Ciężarowe (pow. 3.5 t);149;1;false
590;Dostawcze (do 3.5 t);149;2;false
4029;Osobowe;149;3;false
594;Zabytkowe;149;4;false
251342;Akcesoria do quadów;156;0;false
8721;Akcesoria motocyklowe;156;1;false
251343;Części do quadów;156;2;false
158;Części motocyklowe;156;3;false
159;Kaski i odzież;156;4;false
9015;Tuning;156;5;false
9014;Zabytkowe;156;6;false
235;Pozostałe;156;7;false
19006;Elementy nadwozia;158;0;false
19015;Filtry;158;1;false
4069;Koła, felgi;158;2;false
4070;Oświetlenie;158;3;false
4071;Silniki i osprzęt;158;4;false
19029;Układ elektryczny, zapłon;158;5;false
19041;Układ hamulcowy;158;6;false
19048;Układ napędowy;158;7;false
19053;Układ paliwowy;158;8;false
4073;Układ wydechowy;158;9;false
19058;Zawieszenie;158;10;false
4068;Pozostałe;158;11;false
19066;Chusty;159;0;false
19067;Czapki;159;1;false
19068;Gogle;159;2;false
4075;Kaski;159;3;false
19071;Klamry;159;4;false
4076;Kombinezony;159;5;false
19069;Kominiarki;159;6;false
19070;Koszulki i bluzy;159;7;false
4077;Kurtki;159;8;false
4078;Obuwie;159;9;false
19074;Ochraniacze;159;10;false
19075;Pasy nerkowe;159;11;false
19073;Rękawice;159;12;false
19072;Spodnie;159;13;false
4074;Pozostałe;159;14;false
252922;Acer;165;0;false
4937;Alcatel;165;1;false
48978;Apple;165;2;false
250568;Asus;165;3;false
50971;BlackBerry;165;4;false
253022;Cat Phones;165;5;false
253981;DooGee;165;6;false
147419;Goclever;165;7;false
253478;Honor;165;8;false
16618;HTC;165;9;false
125154;Huawei;165;10;false
253998;Karbonn;165;11;false
147421;Kruger&Matz;165;12;false
146538;Lenovo;165;13;false
10539;LG;165;14;false
253752;Meizu;165;15;false
250942;Microsoft;165;16;false
4941;Motorola;165;17;false
70568;myPhone;165;18;false
253401;Nexus;165;19;false
4978;Nokia;165;20;false
148282;Overmax;165;21;false
147420;Prestigio;165;22;false
435;Samsung;165;23;false
121183;Sony;165;24;false
5044;Sony Ericsson;165;25;false
251585;Wiko;165;26;false
249462;Xiaomi;165;27;false
127376;ZTE;165;28;false
170;Inne marki;165;29;false
85889;Zestawy;165;30;false
50999;Uszkodzone;165;31;false
1144;Ambient, Relaksacja;175;0;false
1361;Ballada, Poezja śpiewana;175;1;false
1362;Blues, Rhythm'n'Blues;175;2;false
1143;Country;175;3;false
193;Dance;175;4;false
89757;Disco polo, biesiadna, karaoke;175;5;false
5608;Dla dzieci;175;6;false
1364;Ethno, Folk, World music;175;7;false
5604;House;175;8;false
260;Jazz, Swing;175;9;false
5607;Kolędy;175;10;false
52737;Metal;175;11;false
10829;Muzyka alternatywna;175;12;false
5606;Muzyka elektroniczna;175;13;false
189;Muzyka filmowa;175;14;false
9536;Muzyka klasyczna;175;15;false
89751;Muzyka religijna, oazowa;175;16;false
16168;Nowe brzmienia;175;17;false
9537;Opera;175;18;false
5603;Pop;175;19;false
186;Rap, Hip-Hop;175;20;false
182;Reggae, Ska;175;21;false
5602;Rock;175;22;false
5605;Rock'n'roll;175;23;false
5609;Single;175;24;false
325;Składanki;175;25;false
181;Soul, Funk;175;26;false
184;Techno, Trance;175;27;false
12838;Doskonalenie umysłu;175;28;false
12845;Płyty z gazety;175;29;false
191;Pozostałe;175;30;false
9530;Zestawy, pakiety;175;31;false
16172;Minimal, Detroit, Niekomercyjne;184;0;false
16173;Trance;184;1;false
16174;Pozostałe;184;2;false
9535;Polski;186;0;false
9534;Zagraniczny;186;1;false
89743;Polska;189;0;false
89744;Zagraniczna;189;1;false
52751;Polski;193;0;false
52750;Zagraniczny;193;1;false
1370;Ballada, Poezja śpiewana;194;0;false
1371;Blues, Rhythm'n'Blues;194;1;false
212;Dance;194;2;false
5590;Dla dzieci;194;3;false
1373;Ethno, Folk, World music;194;4;false
261;Jazz, Swing;194;5;false
209;Klasyka, Opera;194;6;false
5589;Kolędy;194;7;false
10831;Muzyka alternatywna;194;8;false
5588;Muzyka elektroniczna;194;9;false
208;Muzyka filmowa;194;10;false
5585;Pop;194;11;false
205;Rap, Hip-Hop;194;12;false
201;Reggae, Ska;194;13;false
5584;Rock;194;14;false
5587;Rock'n'roll;194;15;false
1378;Składanki;194;16;false
210;Pozostałe;194;17;false
9529;Zestawy, pakiety;194;18;false
46812;Akcesoria;240;0;false
440;Centrale telefoniczne;240;1;false
242;Faxy;240;2;false
457;ISDN;240;3;false
456;Telefony bezprzewodowe;240;4;false
241;Telefony przewodowe;240;5;false
15674;Urządzenia VOIP;240;6;false
1586;Uszkodzone;240;7;false
245;Pozostałe;240;8;false
46809;Alcatel;241;0;false
46805;Castel;241;1;false
46807;Maxcom;241;2;false
46808;Panasonic;241;3;false
46806;Siemens;241;4;false
46810;Inne marki;241;5;false
46811;Uszkodzone;241;6;false
46792;Akcesoria;242;0;false
46796;Urządzenia;242;1;false
15941;Pozostałe;242;2;false
9532;Klasyczny;260;0;false
9533;Współczesny;260;1;false
284;Ambient, Nowe brzmienia;279;0;false
1410;Ballada, Poezja śpiewana;279;1;false
1411;Blues, Rhythm'n'Blues;279;2;false
1145;Country;279;3;false
5638;Dance;279;4;false
5626;Dla dzieci;279;5;false
280;Drum'n'Bass;279;6;false
5639;Ethno, Folk, World music;279;7;false
5622;House;279;8;false
289;Jazz, Swing;279;9;false
286;Klasyka, Opera;279;10;false
5625;Kolędy;279;11;false
10830;Muzyka alternatywna;279;12;false
5624;Muzyka elektroniczna;279;13;false
292;Muzyka filmowa;279;14;false
5621;Pop;279;15;false
281;Rap, Hip-Hop;279;16;false
1413;Reggae, Ska;279;17;false
5620;Rock;279;18;false
5623;Rock'n'roll;279;19;false
5627;Single;279;20;false
1419;Składanki;279;21;false
1420;Soul, Funk;279;22;false
288;Techno;279;23;false
46745;Trance;279;24;false
293;Pozostałe;279;25;false
98700;Okładki, koszulki;279;26;false
9531;Zestawy, pakiety;279;27;false
16197;Polski;281;0;false
16198;Zagraniczny;281;1;false
1003;Akcesoria alkoholowe;316;0;false
93867;Autografy;316;1;false
47934;Breloki;316;2;false
47935;Długopisy i pióra;316;3;false
53671;Etykiety butelkowe;316;4;false
3563;Etykiety zapałczane;316;5;false
99863;Flagi i symbole narodowe;316;6;false
28464;Guziki;316;7;false
47933;Kalendarze listkowe;316;8;false
889;Kinder-niespodzianki;316;9;false
53658;Kolekcje dziecięce;316;10;false
53672;Kubki;316;11;false
93874;Magnesy;316;12;false
93879;Owady, pajęczaki i inne;316;13;false
53670;Puszki;316;14;false
1149;Skamieliny, minerały i muszle;316;15;false
19189;Solidarność;316;16;false
26012;Stare zabawki;316;17;false
53637;Transport;316;18;false
320;Pozostałe;316;19;false
52753;Polskie;325;0;false
52752;Zagraniczne;325;1;false
20103;Aiwa;332;0;false
49124;Denon;332;1;false
49125;Grundig;332;2;false
63475;Hitachi;332;3;false
20104;JVC;332;4;false
20105;LG;332;5;false
20106;Marantz;332;6;false
20107;Onkyo;332;7;false
20108;Panasonic;332;8;false
20109;Philips;332;9;false
20110;Pioneer;332;10;false
20111;Polskie;332;11;false
20112;Samsung;332;12;false
49126;Sharp;332;13;false
20113;Sony;332;14;false
20114;Technics;332;15;false
20115;Thomson;332;16;false
20242;Yamaha;332;17;false
20116;Inni producenci;332;18;false
20117;Uszkodzone;332;19;false
67189;Cambridge Audio;337;0;false
8808;Denon;337;1;false
63483;Ferguson;337;2;false
14217;Grundig;337;3;false
49147;Harman Kardon;337;4;false
14218;LG;337;5;false
14219;Manta;337;6;false
67190;Marantz;337;7;false
14220;Onkyo;337;8;false
8809;Panasonic;337;9;false
14221;Philips;337;10;false
8810;Pioneer;337;11;false
14222;Samsung;337;12;false
8811;Sony;337;13;false
49148;Thomson;337;14;false
14223;Wiwa, Bellwood;337;15;false
8812;Yamaha;337;16;false
8813;Przenośne;337;17;false
8807;Inni producenci;337;18;false
3659;Grecja;339;0;false
3660;Rzym;339;1;false
16222;Artefakty;339;2;false
3658;Pozostałe;339;3;false
1333;Akcesoria i części serwisowe;348;0;false
1120;Anteny i wzmacniacze;348;1;false
8539;Atrapy i telefony demonstracyjne;348;2;false
352;Baterie, akumulatory;348;3;false
10532;Folie ochronne na LCD;348;4;false
351;Kable;348;5;false
53970;Karty X-SIM/Turbosim;348;6;false
4801;Klawiatury;348;7;false
19354;Ładowarki;348;8;false
95593;Maty antypoślizgowe;348;9;false
46781;Moduły GPS;348;10;false
4802;Multimedia;348;11;false
349;Obudowy, panele;348;12;false
95594;Podstawki;348;13;false
353;Pokrowce, futerały, kabury;348;14;false
19353;Pudełka;348;15;false
19352;Rysiki;348;16;false
14508;Smycze, flash stickery, breloki;348;17;false
95595;Uchwyty do telefonów;348;18;false
354;Zestawy głośnomówiące;348;19;false
455;Zestawy słuchawkowe;348;20;false
1291;Zestawy akcesoriów;348;21;false
439;Pozostałe;348;22;false
75520;Apple;349;0;false
74113;BlackBerry;349;1;false
74114;HTC;349;2;false
16588;LG;349;3;false
9260;Motorola;349;4;false
4807;Nokia;349;5;false
10535;Samsung;349;6;false
4808;Siemens;349;7;false
125148;Sony;349;8;false
4809;Sony Ericsson;349;9;false
4806;Pozostałe;349;10;false
55819;Apple;351;0;false
101596;HTC;351;1;false
12233;LG;351;2;false
4795;Motorola;351;3;false
4796;Nokia;351;4;false
10903;Samsung;351;5;false
4797;Siemens;351;6;false
4799;Sony Ericsson;351;7;false
4800;Zestawy kabli;351;8;false
52410;Adaptery do telefonów;351;9;false
52411;Przejściówki;351;10;false
4793;Pozostałe;351;11;false
47811;Crystal case;353;0;false
19321;Futerały;353;1;false
19322;Kabury;353;2;false
19320;Pokrowce silikonowe;353;3;false
147164;Skiny;353;4;false
19323;Pozostałe;353;5;false
5232;Stereo;358;0;false
5233;Kino domowe (5.1 6.1);358;1;false
3675;960 - 1506;359;0;false
9332;1506 - 1586;359;1;false
9333;1587 - 1668;359;2;false
3676;1669 - 1795;359;3;false
3677;1796 - 1864;359;4;false
28465;1916 - 1922;359;5;false
28466;1923 - 1939;359;6;false
28467;1939 - 1945;359;7;false
1059;Afryka;380;0;false
886;Ameryka Pn. i Pd.;380;1;false
885;Azja;380;2;false
382;Europa;380;3;false
381;Polska;380;4;false
386;Reszta Świata;380;5;false
383;Bony i notgeldy;380;6;false
385;Pozostałe;380;7;false
8538;Literatura;380;8;false
9056;Akcesoria;380;9;false
13844;do 1915;381;0;false
13845;1916 - 1924 marki i ruble;381;1;false
3568;1919 - 1939 złote;381;2;false
13842;1939 - 1941;381;3;false
9059;1944 - 1965;381;4;false
3569;1966 - 1993;381;5;false
13843;od 1994;381;6;false
13846;Pewex i Baltona;381;7;false
28356;Zestawy;381;8;false
28332;Austro-Węgry i Austria;382;0;false
28333;Benelux;382;1;false
28334;Białoruś;382;2;false
28335;Czechy i Słowacja;382;3;false
28336;Francja;382;4;false
254203;Grecja;382;5;false
28337;Hiszpania i Portugalia;382;6;false
28338;Kraje bałtyckie;382;7;false
28331;Kraje byłej Jugosławii;382;8;false
28358;Kraje skandynawskie;382;9;false
3567;Niemcy;382;10;false
3566;Rosja;382;11;false
28339;Rumunia i Bułgaria;382;12;false
28340;Turcja;382;13;false
28341;Ukraina;382;14;false
28342;Węgry;382;15;false
28343;Wielka Brytania;382;16;false
94060;Włochy;382;17;false
28344;Zestawy;382;18;false
3565;Pozostałe;382;19;false
13838;Polska i powiązane;383;0;false
13837;Niemcy;383;1;false
13836;Pozostałe;383;2;false
13841;Kopie i faksymile;385;0;false
13840;Fantazyjne;385;1;false
28355;Zestawy;385;2;false
13839;Pozostałe;385;3;false
3504;Polskie;387;0;false
3516;Zagraniczne;387;1;false
392;Pozostałe;387;2;false
3631;do 1918;406;0;false
3630;1918 - 1939;406;1;false
3632;1939 - 1945 Emigracja;406;2;false
9580;1939 - 1945 GG;406;3;false
10131;1939 - 1945 Pozostałe;406;4;false
3633;1944 - 1950;406;5;false
3634;1951 - 1960;406;6;false
9581;1961 - 1970;406;7;false
9582;1971 - 1980;406;8;false
9583;1981 - 1990;406;9;false
3635;1991 - 2000;406;10;false
17886;2001 - 2010;406;11;false
254178;od 2011;406;12;false
3636;WM Gdańsk;406;13;false
10134;Litwa Środkowa;406;14;false
9584;Plebiscyty;406;15;false
19122;Błędy, usterki, odmiany;406;16;false
9588;Europa;409;0;false
9589;Polska;409;1;false
9590;Świat;409;2;false
9608;Pozostałe;409;3;false
3622;Europa Wschodnia;412;0;false
3623;Europa Zachodnia;412;1;false
3625;Niemcy;412;2;false
3624;Rosja i ZSRR;412;3;false
3639;Fauna;414;0;false
3640;Flora;414;1;false
10133;Harcerstwo i Skauting;414;2;false
9585;Kolejnictwo;414;3;false
53612;Kosmos;414;4;false
3642;Lotnictwo;414;5;false
3641;Malarstwo;414;6;false
9586;Marynistyka;414;7;false
14899;Motoryzacja;414;8;false
3645;Polonica;414;9;false
3644;Religia i Papież;414;10;false
3646;Solidarność;414;11;false
3643;Sport;414;12;false
3647;Pozostałe;414;13;false
64297;B2100;435;0;false
107021;B2710 Solid;435;1;false
75550;B3410;435;2;false
125210;B5330;435;3;false
64298;C3050;435;4;false
110282;C3350 Solid;435;5;false
99998;C3530;435;6;false
74155;E1080;435;7;false
127372;E1200;435;8;false
46028;E250;435;9;false
53989;F480;435;10;false
252977;G388F Galaxy Xcover 3;435;11;false
251202;Galaxy A3;435;12;false
251203;Galaxy A5;435;13;false
251681;Galaxy A7;435;14;false
147156;Galaxy Ace 3;435;15;false
250378;Galaxy Ace 4;435;16;false
249585;Galaxy Alpha;435;17;false
145933;Galaxy Core;435;18;false
147424;Galaxy Fame;435;19;false
148773;Galaxy Grand 2;435;20;false
148289;Galaxy Grand Neo;435;21;false
252725;Galaxy J1;435;22;false
249468;Galaxy K Zoom;435;23;false
146536;Galaxy Note 3;435;24;false
250379;Galaxy Note 4;435;25;false
253372;Galaxy Note 5;435;26;false
252022;Galaxy Note edge;435;27;false
251204;Galaxy Pocket 2;435;28;false
132171;Galaxy S4;435;29;false
147155;Galaxy S4 Active;435;30;false
144932;Galaxy S4 Mini;435;31;false
145935;Galaxy S4 Zoom;435;32;false
148386;Galaxy S5;435;33;false
249185;Galaxy S5 Mini;435;34;false
253982;Galaxy S5 Neo;435;35;false
251462;Galaxy S6;435;36;false
251463;Galaxy S6 edge;435;37;false
252978;Galaxy S6 edge Plus;435;38;false
145934;Galaxy Trend;435;39;false
147426;Galaxy Trend Lite;435;40;false
108673;Galaxy Y;435;41;false
147425;Galaxy Young;435;42;false
78058;I5700;435;43;false
121196;I8160 Galaxy Ace 2;435;44;false
125608;I8190 Galaxy S III Mini;435;45;false
87852;I9000 Galaxy S;435;46;false
107018;I9001 Galaxy S Plus;435;47;false
121197;I9070 Galaxy S Advance;435;48;false
101612;I9100 Galaxy S II;435;49;false
127373;I9105P Galaxy S II Plus;435;50;false
121198;I9300 Galaxy S III;435;51;false
107017;N7000 Galaxy Note;435;52;false
125211;N7100 Galaxy Note 2;435;53;false
100000;S3350;435;54;false
64299;S5230 Avila;435;55;false
123887;S5300 Galaxy Pocket;435;56;false
95623;S5330;435;57;false
101613;S5570 Galaxy Mini;435;58;false
107022;S5610;435;59;false
79503;S5620 Monte;435;60;false
107019;S5660 Galaxy Gio;435;61;false
121200;S5690 Galaxy Xcover;435;62;false
99996;S5830 Galaxy Ace;435;63;false
121201;S6500 Galaxy Mini 2;435;64;false
125226;S6802 Galaxy Ace Duos;435;65;false
78059;S7070;435;66;false
125213;S7562 Galaxy S;435;67;false
132174;S7710 Galaxy Xcover 2;435;68;false
